category,impact,description,priority
waste_management,medium,Zonal Violation of the Building reported in Rajagopala Nagar,0.50
electricity,high,Street Light Not Working problem in Herohalli ward,0.84
waste_management,medium,Garbage dump problem in Benniganahalli ward,0.59
electricity,high,Street Light Not Working issue in Konanakunte area,0.79
waste_management,medium,Garbage vehicle not arrived problem in Laggere ward,0.55
electricity,high,Street Light Not Working problem in Varthur ward,0.83
waste_management,medium,Burning of Garbage in Open Space issue in Benniganahalli area,0.54
electricity,high,Street Light Not Working issue in Ullalu area,0.78
waste_management,medium,Garbage dump issue in Pattabhiram Nagar area,0.58
waste_management,medium,Garbage dumping in vacant sites reported in Gangenahalli,0.57
electricity,high,Street Light Not Working issue in Horamavu area,0.83
electricity,high,Street Light Not Working reported in Banashankari Temple Ward,0.80
waste_management,medium,Road cutting problem in Kengeri ward,0.51
waste_management,medium,Issue with Footpath in Mahalakshmipuram,0.49
waste_management,medium,Issue with water stagnation in Deepanjali Nagar,0.54
waste_management,medium,Dengue positive issue in Someshwara area,0.47
waste_management,medium,Complaint regarding Garbage dump at Kuvempu Nagar,0.60
electricity,high,Street Light Not Working reported in Jakkur,0.79
waste_management,medium,Complaint regarding Removal of dead/fallen trees at Koramangala,0.53
waste_management,medium,Issue with Dengue positive in Jakkur,0.51
electricity,high,Street Light Not Working issue in H.M.T area,0.83
electricity,high,Issue with Street Light Not Working in Aramane Nagar,0.81
waste_management,medium,ekhata approval pending with ARO reported in Begur,0.53
waste_management,medium,Fatally injured - Needs immediate attention problem in Dodda Bidarkallu ward,0.46
waste_management,medium,Complaint regarding Garbage dump at Banaswadi,0.61
waste_management,medium,Complaint regarding Garbage nuisance while transporting at Hagadooru,0.51
waste_management,medium,Removal of dead/fallen trees reported in Kadugodi,0.48
waste_management,medium,Issue with Garbage dump in Vasanthapura,0.61
waste_management,medium,Ekhata - name correction reported in Ejipura,0.48
waste_management,medium,Garbage vehicle not arrived issue in Shettyhalli area,0.47
waste_management,medium,Garbage dump reported in Vidyaranyapura,0.59
waste_management,medium,Complaint regarding ekhata approval pending with ARO at Yelachenahalli,0.52
waste_management,medium,Complaint regarding Road side drains at H.M.T,0.50
waste_management,medium,Complaint regarding Stray dog related complaints at Vidyaranyapura,0.49
waste_management,medium,Garbage dump problem in Koramangala ward,0.63
waste_management,medium,Road cutting reported in HAL Airport,0.53
waste_management,medium,Complaint regarding Unavailability of staff at Jogupalya,0.47
electricity,medium,Street Lights Switched On During Day Time problem in C.V.Raman Nagar ward,0.69
waste_management,medium,Issue with Garbage dump in Benniganahalli,0.61
waste_management,medium,Animal birth control/neutering of stray dogs issue in K.R.Puram area,0.48
waste_management,medium,ekhata approval pending with ARO problem in Gurappanapalya ward,0.47
electricity,high,Street Light Not Working problem in Kodigehalli ward,0.85
waste_management,medium,Issue with Stray dog related complaints in Rajarajeshwari Nagar,0.47
waste_management,medium,Potholes problem in Shanthala Nagar ward,0.45
waste_management,medium,Stray/Rabid dog bite reported in Nagapura,0.50
waste_management,medium,Road side drains reported in Hemmigepura,0.47
waste_management,medium,Issue with ekhata approval pending with ARO in Kadugodi,0.51
waste_management,medium,Issue with shifting of the street dogs to other places in Shiva Nagar,0.46
waste_management,medium,Garbage dumping in vacant sites problem in Hongasandra ward,0.64
waste_management,medium,Issue with Garbage dump in Kadugondanahalli,0.60
electricity,high,Issue with Street Light Not Working in Someshwara,0.81
waste_management,medium,Garbage dump reported in Kumaraswamy Layout,0.58
waste_management,medium,Garbage dump problem in Jaraganahalli ward,0.58
waste_management,medium,Garbage dump issue in Yelachenahalli area,0.61
waste_management,medium,obstructions Branches / Trees. problem in Gayathri Nagar ward,0.49
waste_management,medium,Complaint regarding Garbage dumping in vacant sites at Hagadooru,0.55
waste_management,medium,Complaint regarding Road side drains at Hemmigepura,0.48
waste_management,medium,Other Khata / ekhata issues problem in Horamavu ward,0.48
electricity,high,Street Light Not Working issue in Gurappanapalya area,0.77
electricity,medium,Street Lights Switched On During Day Time issue in Subhash Nagar area,0.69
waste_management,medium,Complaint regarding Garbage dump at Varthur,0.55
waste_management,medium,Issue with Garbage dump in Hoodi,0.58
waste_management,medium,Garbage transfer not as per norms & area not kept clean problem in Basavanagudi ward,0.41
waste_management,medium,Complaint regarding Garbage dump at Vidyapeetha,0.52
waste_management,medium,Animal Rescue - Not well - Requires attention problem in Someshwara ward,0.48
waste_management,medium,Issue with Others in Jakkur,0.53
waste_management,medium,Garbage dump reported in Chikpete,0.51
waste_management,medium,Garbage dump problem in Hagadooru ward,0.48
waste_management,medium,obstructions Branches / Trees. reported in Basaveshwara Nagar,0.50
waste_management,medium,Complaint regarding Other Khata / ekhata issues at Hanumantha Nagar,0.53
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Jakkur,0.51
waste_management,medium,Removal of dead/fallen trees issue in Gayathri Nagar area,0.52
waste_management,medium,Garbage dump issue in Basavanapura area,0.64
waste_management,medium,Garbage dump reported in Hombegowda Nagar,0.61
waste_management,medium,Complaint regarding Complaint against SW collector/ SWM official for violation of SWM Rules at Someshwara,0.49
waste_management,medium,Issue with Garbage dump in Chalavadipalya,0.60
electricity,high,Issue with Street Light Not Working in Jakkur,0.70
waste_management,medium,Issue with Garbage dumping in vacant sites in Horamavu,0.63
waste_management,medium,Issue with Technical Issue In Ekhata in Jakkur,0.50
waste_management,medium,Garbage dump issue in Benniganahalli area,0.56
waste_management,medium,Issue with Garbage vehicle not arrived in Thanisandra,0.52
waste_management,medium,Garbage vehicle not arrived reported in Jayanagar East,0.51
waste_management,medium,Complaint regarding Garbage dump at Pattabhiram Nagar,0.58
waste_management,medium,Sewerage water left in SWD reported in Doddanekkundi,0.48
waste_management,medium,Stray/Rabid dog bite reported in Benniganahalli,0.52
waste_management,medium,Garbage dump reported in Benniganahalli,0.58
electricity,high,Street Light Not Working problem in Gottigere ward,0.82
electricity,high,Street Light Not Working reported in Sampangiram Nagar,0.85
waste_management,medium,Issue with Animal birth control/neutering of stray dogs in Shettyhalli,0.50
waste_management,medium,Potholes reported in Garudacharpalya,0.51
waste_management,medium,Fatally injured - Needs immediate attention problem in Mangammanapalya ward,0.49
waste_management,medium,Garbage dump problem in Manorayanapalya ward,0.62
electricity,high,Street Light Not Working problem in Byatarayanapura ward,0.83
waste_management,medium,Issue with ekhata approval pending with ARO in Ramamurthy Nagar,0.45
waste_management,medium,obstructions Branches / Trees. issue in Kuvempu Nagar area,0.55
electricity,high,Street Light Not Working problem in Shettyhalli ward,0.83
waste_management,low,Garbage vehicle not arrived issue in HBR Layout area,0.35
waste_management,medium,Complaint regarding water stagnation at HAL Airport,0.41
waste_management,medium,UnAuthorised Constructions issue in Kamakshipalya area,0.50
waste_management,medium,Garbage dump reported in Doddanekkundi,0.63
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Vasanthapura,0.54
waste_management,medium,Issue with Removal of dead/fallen trees in Jakkur,0.55
waste_management,medium,Issue with Garbage vehicle not arrived in Hoodi,0.53
waste_management,medium,Garbage dump issue in Varthur area,0.49
waste_management,medium,Issue with Maintenance of SWD in Peenya Industrial Area,0.53
waste_management,medium,Issue with obstructions Branches / Trees. in Arakere,0.48
waste_management,medium,Fatally injured - Needs immediate attention problem in Kodigehalli ward,0.52
electricity,high,Street Light Not Working reported in C.V.Raman Nagar,0.82
waste_management,medium,Others reported in Vidyaranyapura,0.54
waste_management,medium,Garbage dump issue in Jaraganahalli area,0.49
electricity,high,Street Light Not Working reported in Singasandra,0.84
electricity,high,Street Light Not Working issue in Jakkur area,0.80
waste_management,medium,Issue with Garbage vehicle not arrived in Ramamurthy Nagar,0.51
waste_management,medium,Garbage dump issue in Attiguppe area,0.49
waste_management,medium,Complaint regarding Garbage dump at Someshwara,0.57
waste_management,medium,Garbage dump problem in Dodda Bidarkallu ward,0.62
electricity,high,Street Light Not Working reported in Kadugodi,0.84
waste_management,medium,Issue with Removal of dead/fallen trees in Hoysala Nagar,0.52
waste_management,medium,Issue with Garbage dump in Banaswadi,0.49
waste_management,medium,Complaint regarding Footpath at Subhash Nagar,0.54
waste_management,medium,Air/Noise pollution reported in Jakkur,0.54
waste_management,medium,Issue with Garbage dump in Jayangar,0.59
electricity,high,Issue with Street Light Not Working in Jakkur,0.75
waste_management,medium,Garbage vehicle not arrived issue in HBR Layout area,0.41
electricity,high,Street Light Not Working issue in Sampangiram Nagar area,0.85
electricity,high,Issue with Street Light Not Working in Herohalli,0.76
electricity,high,Street Light Not Working problem in Vijay Nagar ward,0.80
electricity,high,Street Light Not Working issue in Attiguppe area,0.78
electricity,high,Issue with Street Light Not Working in Uttarahalli,0.80
waste_management,medium,Issue with Garbage dump in Kushal Nagar,0.51
electricity,high,Street Light Not Working issue in Hoodi area,0.80
waste_management,medium,Garbage dump issue in Sunkenahalli area,0.64
waste_management,medium,Complaint regarding Removal of dead/fallen trees at Gurappanapalya,0.47
electricity,high,Issue with Street Light Not Working in Vidyaranyapura,0.77
electricity,high,Complaint regarding Street Light Not Working at Shakthiganapathi Nagar,0.84
electricity,high,Street Light Not Working problem in Sudduguntepalya ward,0.78
waste_management,medium,Complaint regarding Debris Removal / Construction Material at Begur,0.48
electricity,high,Complaint regarding Street Light Not Working at Benniganahalli,0.78
waste_management,medium,Garbage transfer not as per norms & area not kept clean issue in HSR Layout area,0.44
electricity,high,Street Light Not Working problem in Shanthi Nagar ward,0.80
electricity,high,Street Light Not Working issue in Konanakunte area,0.82
electricity,high,Street Light Not Working reported in Jnanabharathi Ward,0.78
electricity,high,Complaint regarding Street Light Not Working at Shanthi Nagar,0.83
electricity,high,Street Light Not Working reported in Gottigere,0.81
electricity,high,Complaint regarding Street Light Not Working at Malleshwaram,0.80
waste_management,medium,Garbage dumping in vacant sites issue in Kavalbyrasandra area,0.51
electricity,high,Street Light Not Working issue in Uttarahalli area,0.82
electricity,high,Street Light Not Working issue in Karisandra area,0.83
waste_management,medium,Flex and banners reported in Gali Anjaneya Swamy Temple Ward,0.52
electricity,high,Street Light Not Working issue in Sri Nagar area,0.84
electricity,high,Complaint regarding Street Light Not Working at BTM Layout,0.78
electricity,high,Street Light Not Working issue in Uttarahalli area,0.81
electricity,high,Issue with Street Light Not Working in Ramamurthy Nagar,0.78
electricity,high,Street Light Not Working issue in BTM Layout area,0.75
waste_management,medium,Garbage dump reported in Ulsoor,0.63
electricity,high,Issue with Street Light Not Working in Vidyaranyapura,0.70
electricity,high,Street Light Not Working problem in Pulikeshi Nagar ward,0.83
waste_management,medium,Issue with Garbage dump in Vijanapura,0.55
waste_management,medium,Potholes issue in Marathalli area,0.52
waste_management,medium,Removal of dead/fallen trees issue in Byatarayanapura area,0.49
electricity,high,Complaint regarding Street Light Not Working at Sampangiram Nagar,0.78
waste_management,low,Dengue positive reported in HSR Layout,0.38
electricity,high,Issue with Street Light Not Working in Sri Nagar,0.82
waste_management,medium,Dengue positive issue in Arakere area,0.55
waste_management,medium,Stray dog related complaints problem in Hoodi ward,0.52
electricity,high,Street Light Not Working problem in Vishwanathnagenahalli ward,0.71
waste_management,medium,Issue with Dengue positive in Doddanekkundi,0.54
waste_management,medium,Dengue positive issue in Banaswadi area,0.53
waste_management,medium,Issue with Garbage dump in Bellandur,0.54
waste_management,medium,Garbage dump issue in Jalahalli area,0.48
waste_management,medium,Dengue positive reported in Kuvempu Nagar,0.49
waste_management,medium,Garbage dump issue in Kavalbyrasandra area,0.53
electricity,high,Street Light Not Working problem in Jayanagar East ward,0.85
electricity,high,Complaint regarding Street Light Not Working at Laggere,0.84
waste_management,medium,Issue with obstructions Branches / Trees. in Kodigehalli,0.50
waste_management,medium,Garbage vehicle not arrived issue in Banashankari Temple Ward area,0.48
electricity,high,Street Light Not Working reported in Horamavu,0.79
waste_management,medium,Garbage vehicle not arrived reported in Jayangar,0.53
waste_management,low,Issue with Garbage vehicle not arrived in Vidyaranyapura,0.40
electricity,high,Street Light Not Working problem in Jnanabharathi Ward ward,0.76
waste_management,medium,Issue with obstructions Branches / Trees. in Chokkasandra,0.51
waste_management,medium,Garbage dump issue in Padmanabha Nagar area,0.47
waste_management,medium,Complaint regarding Garbage dump at Benniganahalli,0.55
waste_management,medium,Removal of dead/fallen trees issue in Rajaji Nagar area,0.53
waste_management,low,Stray dog related complaints problem in Bagalagunte ward,0.39
waste_management,medium,Complaint regarding Technical Issue In Ekhata at Banaswadi,0.43
waste_management,medium,obstructions Branches / Trees. reported in Newthippasandra,0.48
waste_management,medium,Garbage dumping in vacant sites reported in Vishwanathnagenahalli,0.54
waste_management,medium,Garbage dumping in vacant sites problem in Hoysala Nagar ward,0.55
waste_management,medium,Issue with footpath encroachment in Mangammanapalya,0.51
electricity,high,Issue with Street Light Not Working in Banaswadi,0.78
electricity,high,Issue with Street Light Not Working in J.P.Nagar,0.80
waste_management,medium,Garbage dump issue in Sagayapuram area,0.58
waste_management,medium,Removal of dead/fallen trees issue in Pattabhiram Nagar area,0.48
waste_management,medium,Garbage dump problem in Basavanapura ward,0.53
waste_management,medium,Issue with Garbage dump in Banaswadi,0.48
electricity,medium,Issue with Street Light Not Working in Begur,0.70
waste_management,medium,Issue with Garbage dump in Benniganahalli,0.62
waste_management,medium,Road side drains problem in Varthur ward,0.50
waste_management,medium,Complaint regarding Potholes at Jakkur,0.50
parks_recreation,medium,Complaint regarding Issues Related to Parks/Medians/Circles/Island. at Doddanekkundi,0.48
electricity,high,Street Light Not Working problem in Ullalu ward,0.84
electricity,high,Street Light Not Working problem in Jakkur ward,0.75
waste_management,medium,Issue with Debris Removal / Construction Material in Kadugondanahalli,0.45
waste_management,medium,Complaint regarding Garbage dump at Banaswadi,0.46
waste_management,medium,Road side drains issue in Sudduguntepalya area,0.54
waste_management,medium,Complaint regarding Garbage dump at Shanthala Nagar,0.55
sanitation,high,Issue with Public toilet(s) blockage in Shakambari Nagar,0.81
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Kengeri,0.41
waste_management,medium,Garbage dumping in vacant sites reported in Ramaswamy Palya,0.54
electricity,high,Park Lights Not Working problem in Aramane Nagar ward,0.77
waste_management,medium,Garbage vehicle not arrived problem in Jakkur ward,0.42
electricity,high,Complaint regarding Street Light Not Working at Kempegowda Ward,0.73
waste_management,low,Ekhata Other corrections problem in Hagadooru ward,0.38
waste_management,medium,Animal birth control/neutering of stray dogs problem in Rajarajeshwari Nagar ward,0.45
waste_management,medium,Issue with obstructions Branches / Trees. in Bapuji Nagar,0.47
waste_management,medium,Garbage dump reported in Lingarajapuram,0.63
waste_management,medium,Complaint regarding Potholes at Maruthi Seva Nagar,0.49
waste_management,medium,Complaint regarding Garbage vehicle not arrived at Padmanabha Nagar,0.40
waste_management,medium,Garbage dump problem in Hagadooru ward,0.47
traffic,medium,Issue with TEC in Hongasandra,0.47
waste_management,medium,Garbage vehicle not arrived reported in Vignana Nagar,0.44
waste_management,low,Garbage vehicle not arrived issue in Vasanthapura area,0.37
waste_management,low,Garbage vehicle not arrived problem in Banaswadi ward,0.37
waste_management,medium,Ekhata missing in online problem in Thanisandra ward,0.44
waste_management,medium,Animal birth control/neutering of stray dogs problem in Jakkur ward,0.51
waste_management,medium,Road side drains issue in Laggere area,0.49
waste_management,medium,Issue with Garbage dump in Hoodi,0.57
waste_management,medium,Complaint regarding obstructions Branches / Trees. at Okalipuram,0.54
electricity,medium,Issue with Street Light Not Working in Peenya Industrial Area,0.68
waste_management,low,Stray dog related complaints problem in Doddanekkundi ward,0.38
electricity,high,Issue with Street Light Not Working in Uttarahalli,0.80
waste_management,low,Issue with Debris Removal / Construction Material in Jayanagar East,0.38
waste_management,medium,Issue with Senior  Citizen in Bilekahalli,0.52
